Time Bucket (America/Edmonton),Jasper Ave -Circuit_1 (kWatts),Jasper Ave -Circuit_2 (kWatts),Jasper Ave -Circuit_3 (kWatts),Jasper Ave -Circuit_4 (kWatts),Jasper Ave -Circuit_5 (kWatts),Jasper Ave -Circuit_10 (kWatts),Jasper Ave -Circuit_11 (kWatts)
01/26/2023 00:11:00,0.0073,0.0000,0.0000,0.1243,0.1245,0.0000,0.0000
01/26/2023 00:12:00,0.0072,0.0000,0.0000,0.1241,0.1244,0.0000,0.0000
01/26/2023 00:13:00,0.0073,0.0000,0.0000,0.1242,0.1242,0.0000,0.0000
01/26/2023 00:14:00,0.0072,0.0000,0.0001,0.1241,0.1246,0.0000,0.0000
01/26/2023 00:15:00,0.0072,0.0000,0.0001,0.1241,0.1239,0.0000,0.0000
01/26/2023 00:16:00,0.0071,0.0000,0.0000,0.1239,0.1239,0.0000,0.0000
01/26/2023 00:17:00,0.0071,0.0000,0.0002,0.1240,0.1238,0.0000,0.0000
01/26/2023 00:18:00,0.0071,0.0000,0.0002,0.1240,0.1245,0.0000,0.0000
01/26/2023 00:19:00,0.0071,0.0000,0.0002,0.1236,0.1244,0.0000,0.0000
01/26/2023 00:20:00,0.0072,0.0000,0.0000,0.1239,0.1240,0.0000,0.0000
01/26/2023 00:21:00,0.0072,0.0000,0.0000,0.1235,0.1239,0.0000,0.0000
01/26/2023 00:22:00,0.0073,0.0000,0.0001,0.1238,0.1244,0.0000,0.0000
01/26/2023 00:23:00,0.0072,0.0000,0.0002,0.1236,0.1247,0.0000,0.0000
01/26/2023 00:24:00,0.0074,0.0000,0.0000,0.1233,0.1239,0.0000,0.0000
01/26/2023 00:25:00,0.0072,0.0000,0.0000,0.1233,0.1247,0.0000,0.0000
01/26/2023 00:26:00,0.0072,0.0000,0.0001,0.1234,0.1238,0.0000,0.0000
01/26/2023 00:27:00,0.0073,0.0000,0.0000,0.1233,0.1242,0.0000,0.0000
01/26/2023 00:28:00,0.0071,0.0000,0.0000,0.1234,0.1241,0.0000,0.0000
01/26/2023 00:29:00,0.0072,0.0000,0.0000,0.1231,0.1241,0.0000,0.0000
01/26/2023 00:30:00,0.0072,0.0000,0.0002,0.1232,0.0989,0.0000,0.0000
01/26/2023 00:31:00,0.0074,0.0000,0.0000,0.1230,0.0313,0.0000,0.0000
01/26/2023 00:32:00,0.0073,0.0000,0.0000,0.1229,0.0312,0.0000,0.0000
01/26/2023 00:33:00,0.0074,0.0000,0.0002,0.1232,0.0318,0.0000,0.0000
01/26/2023 00:34:00,0.0074,0.0000,0.0001,0.1230,0.0323,0.0000,0.0000
01/26/2023 00:35:00,0.0073,0.0000,0.0000,0.1230,0.0314,0.0000,0.0000
01/26/2023 00:36:00,0.0075,0.0000,0.0000,0.1228,0.0316,0.0000,0.0000
01/26/2023 00:37:00,0.0074,0.0000,0.0000,0.1227,0.0311,0.0000,0.0000
01/26/2023 00:38:00,0.0073,0.0000,0.0000,0.1227,0.0313,0.0000,0.0000
01/26/2023 00:39:00,0.0073,0.0000,0.0000,0.1230,0.0311,0.0000,0.0000
01/26/2023 00:40:00,0.0075,0.0000,0.0001,0.1226,0.0306,0.0000,0.0000
01/26/2023 00:41:00,0.0073,0.0000,0.0000,0.1226,0.0306,0.0000,0.0000
01/26/2023 00:42:00,0.0074,0.0000,0.0000,0.1223,0.0304,0.0000,0.0000
01/26/2023 00:43:00,0.0076,0.0000,0.0000,0.1228,0.0307,0.0000,0.0000
01/26/2023 00:44:00,0.0073,0.0000,0.0000,0.1224,0.0309,0.0000,0.0000
01/26/2023 00:45:00,0.0074,0.0000,0.0000,0.1225,0.0313,0.0000,0.0000
01/26/2023 00:46:00,0.0075,0.0000,0.0000,0.1221,0.0304,0.0000,0.0000
01/26/2023 00:47:00,0.0073,0.0000,0.0000,0.1225,0.0304,0.0000,0.0000
01/26/2023 00:48:00,0.0075,0.0000,0.0000,0.1223,0.0305,0.0000,0.0000
01/26/2023 00:49:00,0.0073,0.0000,0.0000,0.1222,0.0311,0.0000,0.0000
01/26/2023 00:50:00,0.0074,0.0000,0.0000,0.1222,0.0307,0.0000,0.0000
01/26/2023 00:51:00,0.0073,0.0000,0.0000,0.1220,0.1069,0.0000,0.0000
01/26/2023 00:52:00,0.0073,0.0000,0.0002,0.1217,0.1359,0.0000,0.0000
01/26/2023 00:53:00,0.0074,0.0000,0.0000,0.1222,0.1323,0.0000,0.0000
01/26/2023 00:54:00,0.0071,0.0000,0.0000,0.1218,0.1322,0.0000,0.0000
01/26/2023 00:55:00,0.0074,0.0000,0.0000,0.1217,0.1311,0.0000,0.0000
01/26/2023 00:56:00,0.0072,0.0000,0.0000,0.1217,0.1300,0.0000,0.0000
01/26/2023 00:57:00,0.0071,0.0000,0.0000,0.1216,0.1285,0.0000,0.0000
01/26/2023 00:58:00,0.0071,0.0000,0.0001,0.1217,0.1273,0.0000,0.0000
01/26/2023 00:59:00,0.0070,0.0000,0.0000,0.1216,0.1275,0.0000,0.0000
01/26/2023 01:00:00,0.0070,0.0000,0.0000,0.1215,0.1266,0.0000,0.0000
01/26/2023 01:01:00,0.0072,0.0000,0.0000,0.1215,0.1269,0.0000,0.0000
